Traditional	Simplified	Pinyin
差別	差别	chābié
失望	失望	shīwàng
建造	建造	jiànzào
代價	代价	dàijià
戴	戴	dài
跟	跟	gēn
常見	常见	chángjiàn
房地產	房地产	fángdìchǎn
食品	食品	shípǐn
個別	个别	gèbié
建造	建造	jiànzào
來賓	来宾	láibīn
重複	重复	chóngfù
兼	兼	jiān
意外	意外	yìwài
秒	秒	miǎo
全體	全体	quántǐ
方	方	fāng
沒想到	没想到	méixiǎngdào
足以	足以	zúyǐ
損失	损失	sǔnshī
當場	当场	dāngcháng
舒服	舒服	shūfú
憑	凭	píng
手術	手术	shǒushù
之內	之内	zhīnèi
信任	信任	xìnrèn
血	血	xiě
信任	信任	xìnrèn
公務員	公务员	gōngwùyuán
浪漫	浪漫	làngmàn
業界	业界	yèjiè
棟	栋	dòng
暴力	暴力	bàolì
腿	腿	tuǐ
充實	充实	chōngshí
公會	公会	gōnghuì
也就是說	也就是说	yějiùshìshuō
升級	升级	shēngjí
指示	指示	zhǐshì
充實	充实	chōngshí
古蹟	古蹟	gǔjī
還	还	hái
緊急	紧急	jǐnjí
創業	创业	chuàngyè
新竹市	新竹市	xīnzhúshì
創業	创业	chuàngyè
裡頭	里头	lǐtóu
基因	基因	jīyīn
崇拜	崇拜	chóngbài
風景	风景	fēngjǐng
也好	也好	yěhǎo
日期	日期	rìqí
佛教	佛教	fójiào
一一	一一	yīyī
當局	当局	dāngjú
進	进	jìn
格式	格式	géshì
北部	北部	běibù
吸食	吸食	xīshí
天天	天天	tiāntiān
現況	现况	xiànkuàng
紙	纸	zhǐ
貨	货	huò
相反	相反	xiāngfǎn
按照	按照	ànzhào
特	特	tè
吸食	吸食	xīshí
見面	见面	jiànmiàn
發動	发动	fādòng
公頃	公顷	gōngqīng
主機	主机	zhǔjī
隨便	随便	suíbiàn
資本	资本	zīběn
發動	发动	fādòng
裝	装	zhuāng
走進	走进	zǒujìn
分類	分类	fēnlèi
別	别	bié
泰國	泰国	tàiguó
倫敦	伦敦	lúndūn
秘書	秘书	mìshū
部屬	部属	bùshǔ
高度	高度	gāodù
問卷	问卷	wènjuàn
乾淨	干净	gānjìng
肝炎	肝炎	gānyán
來臨	来临	láilín
胡	胡	hú
保證	保证	bǎozhèng
能否	能否	néngfǒu
肚子	肚子	dùzi
地震	地震	dìzhèn
指定	指定	zhǐdìng
時常	时常	shícháng
民營	民营	mínyíng
確保	确保	quèbǎo
新台幣	新台币	xīntáibì
喊	喊	hǎn
途徑	途径	tújìng
民營	民营	mínyíng
一路	一路	yīlù
輸出	输出	shūchū
敏感	敏感	mǐngǎn
溫暖	温暖	wēnnuǎn
可怕	可怕	kěpà
生理	生理	shēnglǐ
月亮	月亮	yuèliàng
輸出	输出	shūchū
癌	癌	yán
溫暖	温暖	wēnnuǎn
動機	动机	dòngjī
連	连	lián
帶領	带领	dàilǐng
東南亞	东南亚	dōngnányǎ
印表機	印表机	yìnbiǎojī
成分	成分	chéngfèn
據了解	据了解	jùliǎojiě
儒家	儒家	rújiā
可怕	可怕	kěpà
教育	教育	jiàoyū
設法	设法	shèfǎ
儲存	储存	chúcún
搭配	搭配	dāpèi
傳輸	传输	chuánshū
離	离	lí
圖書	图书	túshū
搭配	搭配	dāpèi
高科技	高科技	gāokējì
治	治	zhì
門口	门口	ménkǒu
外在	外在	wàizài
儲存	储存	chúcún
符號	符号	fúhào
風貌	风貌	fēngmào
名詞	名词	míngcí
合併	合并	hébìng
利潤	利润	lìrùn
合併	合并	hébìng
搶	抢	qiǎng
幹	干	gàn
無數	无数	wúshù
奧運	奥运	àoyùn
就	就	jiù
句子	句子	jùzi
娛樂	娱乐	yúlè
百貨	百货	bǎihuò
分子	分子	fènzǐ
厲害	厉害	lìhài
零	零	líng
厲害	厉害	lìhài
殘障	残障	cánzhàng
國語	国语	guóyǔ
少女	少女	shàonǔ
作	作	zuò
教堂	教堂	jiàotáng
許	许	xǔ
風險	风险	fēngxiǎn
教科書	教科书	jiàokēshū
黑色	黑色	hēisè
資深	资深	zīshēn
就讀	就读	jiùdú
曉得	晓得	xiǎode
請問	请问	qǐngwèn
增進	增进	zēngjìn
贏得	赢得	yíngdé
犯罪	犯罪	fànzuì
台幣	台币	táibì
犯罪	犯罪	fànzuì
偶爾	偶尔	ǒuěr
培訓	培训	péixùn
譬如說	譬如说	pìrúshuō
上帝	上帝	shàngdì
種	种	zhòng
輩子	辈子	bèizi
筆者	笔者	bǐzhě
喪失	丧失	sàngshī
部長	部长	bùzhǎng
寂寞	寂寞	jímò
培訓	培训	péixùn
設有	设有	shèyǒu
情報	情报	qíngbào
前來	前来	qiánlái
飛彈	飞弹	fēidàn
虎	虎	hǔ
寂寞	寂寞	jímò
專題	专题	zhuāntí
排名	排名	páimíng
怎樣	怎样	zěnyàng
案例	案例	ànlì
傳送	传送	chuánsòng
排名	排名	páimíng
允許	允许	yǔnxǔ
認定	认定	rèndìng
威脅	威胁	wēixié
大聲	大声	dàshēng
傳送	传送	chuánsòng
當做	当做	dāngzuò
經銷商	经销商	jīngxiāoshāng
將近	将近	jiāngjìn
戰	战	zhàn
愛心	爱心	àixīn
回國	回国	huíguó
跑到	跑到	pǎodào
過來	过来	guòlái
印度	印度	yìndù
音	音	yīn
待遇	待遇	dàiyū
開會	开会	kāihuì
身分	身分	shēnfèn
存	存	cún
留學	留学	liúxué
重要性	重要性	zhòngyàoxìng
時機	时机	shíjī
國科會	国科会	guókēhuì
時刻	时刻	shíkè
節	节	jié
開會	开会	kāihuì
遭到	遭到	zāodào
不已	不已	bùyǐ
中油	中油	zhōngyóu
景氣	景气	jǐngqì
補充	补充	bǔchōng
公主	公主	gōngzhǔ
千萬	千万	qiānwàn
公布	公布	gōngbù
豬	猪	zhū
潛力	潜力	qiánlì
黃金	黄金	huángjīn
單元	单元	dānyuán
街道	街道	jiēdào
略	略	luè
財產權	财产权	cáichǎnquán
地理	地理	dìlǐ
周	周	zhōu
到達	到达	dàodá
電信局	电信局	diànxìnjú
促銷	促销	cùxiāo
工程師	工程师	gōngchéngshī
確實	确实	quèshí
遠距	远距	yuǎnjù
驚人	惊人	jīngrén
為	为	wèi
促銷	促销	cùxiāo
彩色	彩色	cǎisè
真理	真理	zhēnlǐ
宣佈	宣佈	xuānbù
變動	变动	biàndòng
點	点	diǎn
市政府	市政府	shìzhèngfǔ
躺	躺	tǎng
漸	渐	jiàn
普通	普通	pǔtōng
進來	进来	jìnlái
涉及	涉及	shèjí
保護區	保护区	bǎohùqū
版本	版本	bǎnběn
制定	制定	zhìdìng
定義	定义	dìngyì
事項	事项	shìxiàng
法則	法则	fǎzé
否認	否认	fǒurèn
抱怨	抱怨	bàoyuàn
宜蘭	宜兰	yílán
人群	人群	rénqún
廣大	广大	guǎngdà
鄰居	邻居	línjū
模型	模型	móxíng
忍不住	忍不住	rěnbúzhù
現行	现行	xiànxíng
瓷器	瓷器	cíqì
荷蘭	荷兰	hélán
家鄉	家乡	jiāxiāng
前途	前途	qiántú
花蓮	花莲	huālián
含	含	hán
合約	合约	héyuē
官方	官方	guānfāng
成效	成效	chéngxiào
克服	克服	kèfú
循環	循环	xúnhuán
新鮮	新鲜	xīnxiān
和解	和解	héjiě
原先	原先	yuánxiān
金	金	jīn
油	油	yóu
臺	台	tái
巨大	巨大	jùdà
公車	公车	gōngchē
傳說	传说	chuánshuō
動力	动力	dònglì
推行	推行	tuīxíng
雞	鸡	jī
回應	回应	huíyìng
介入	介入	jièrù
內在	内在	nèizài
人體	人体	réntǐ
介入	介入	jièrù
謂	谓	wèi
臺大	台大	táidà
確	确	què
能	能	néng
美術	美术	měishù
活力	活力	huólì
致	致	zhì
活動	活动	huódòng
完	完	wán
那麼多	那么多	nàmeduō
物理	物理	wùlǐ
推行	推行	tuīxíng
終	终	zhōng
分成	分成	fēnchéng
台中市	台中市	táizhōngshì
代理	代理	dàilǐ
樂趣	乐趣	lèqù
超級	超级	chāojí
勞動	劳动	láodòng
唯有	唯有	wéiyǒu
宣傳	宣传	xuānchuán
交給	交给	jiāogěi
受傷	受伤	shòushāng
講師	讲师	jiǎngshī
抵達	抵达	dǐdá
體重	体重	tǐzhòng
不見得	不见得	bújiàndé
領導	领导	lǐngdǎo
蝸牛	蜗牛	guānióu
群眾	群众	qúnzhòng
抵達	抵达	dǐdá
刻意	刻意	kèyì
李登輝	李登辉	lǐdēnghuī
合作社	合作社	hézuòshè
印尼	印尼	yìnní
規格	规格	guīgé
價值觀	价值观	jiàzhíguān
依賴	依赖	yīlài
百貨公司	百货公司	bǎihuògōngsī
負擔	负担	fùdān
封	封	fēng
馬路	马路	mǎlù
通知	通知	tōngzhī
普及	普及	pǔjí
坪	坪	píng
綠	绿	lù
不安	不安	bùān
鐵路	铁路	tiělù
普及	普及	pǔjí
錄影帶	录影带	lùyǐngdài
局面	局面	júmiàn
團隊	团队	tuánduì
優先	优先	yōuxiān
對	对	duì
進去	进去	jìnqù
黃	黄	huáng
神經	神经	shénjīng
近來	近来	jìnlái
英語	英语	yīngyǔ
刺激	刺激	cìjī
羊	羊	yáng
老虎	老虎	lǎohǔ
所得	所得	suǒdé
健全	健全	jiànquán
邊	边	biān
主體	主体	zhǔtǐ
大致	大致	dàzhì
對手	对手	duìshǒu
還要	还要	háiyào
健全	健全	jiànquán
建構	建构	jiàngòu
星星	星星	xīngxīng
建構	建构	jiàngòu
大哥	大哥	dàgē
培育	培育	péiyū
用心	用心	yòngxīn
書記	书记	shūjì
財政部	财政部	cáizhèngbù
培育	培育	péiyū
遊行	遊行	yóuxíng
行	行	xíng
太平洋	太平洋	tàipíngyáng
造	造	zào
咖啡	咖啡	kāfēi
名單	名单	míngdān
注重	注重	zhùzhòng
周圍	周围	zhōuwéi
主權	主权	zhǔquán
水泥	水泥	shuǐní
近	近	jìn
合法	合法	héfǎ
便利	便利	biànlì
落後	落后	luòhòu
詢問	询问	xúnwèn
送給	送给	sònggěi
惟	惟	wéi
表	表	biǎo
糾紛	纠纷	jiūfēn
空中	空中	kōngzhōng
過於	过于	guòyū
任	任	rèn
晚	晚	wǎn
車站	车站	chēzhàn
有助於	有助于	yǒuzhùyū
便利	便利	biànlì
落後	落后	luòhòu
之類	之类	zhīlèi
下降	下降	xiàjiàng
手續	手续	shǒuxù
轉換	转换	zhuǎnhuàn
立法	立法	lìfǎ
刀	刀	dāo
帶給	带给	dàigěi
涵蓋	涵盖	hángài
差不多	差不多	chābùduō
主持人	主持人	zhǔchírén
完工	完工	wángōng
里	里	lǐ
楊	杨	yáng
內政部	内政部	nèizhèngbù
躲	躲	duǒ
美術館	美术馆	měishùguǎn
領先	领先	lǐngxiān
不當	不当	búdàng
用地	用地	yòngdì
認知	认知	rènzhī
基層	基层	jīcéng
做出	做出	zuòchū
政權	政权	zhèngquán
甚麼	什么	shéme
風景區	风景区	fēngjǐngqū
季節	季节	jìjié
享有	享有	xiǎngyǒu
對不起	对不起	duìbùqǐ
建設	建设	jiànshè
出口	出口	chūkǒu
引導	引导	yǐndǎo
實行	实行	shíxíng
錯誤	错误	cuòwù
國內外	国内外	guónèiwài
迄	迄	qì
神話	神话	shénhuà
盡	尽	jìn
花園	花园	huāyuán
非洲	非洲	fēizhōu
組織	组织	zǔzhī
音樂會	音乐会	yīnyuèhuì
繼	继	jì
預估	预估	yūgū
著作	著作	zhùzuò
感受到	感受到	gǎnshòudào
保障	保障	bǎozhàng
自主	自主	zìzhǔ
好多	好多	hǎoduō
自主	自主	zìzhǔ
姑娘	姑娘	gūniáng
財團	财团	cáituán
預期	预期	yūqí
安定	安定	āndìng
上升	上升	shàngshēng
未必	未必	wèibì
噸	吨	dùn
模擬	模拟	mónǐ
發言	发言	fāyán
底下	底下	dǐxià
安定	安定	āndìng
模擬	模拟	mónǐ
票	票	piào
出門	出门	chūmén
輔助	辅助	fǔzhù
傾向	倾向	qīngxiàng
過年	过年	guònián
照	照	zhào
廟	庙	miào
幫	帮	bāng
人工	人工	réngōng
禮	礼	lǐ
信	信	xìn
勝利	胜利	shènglì
魅力	魅力	mèilì
首長	首长	shǒuzhǎng
勝利	胜利	shènglì
過年	过年	guònián
毫不	毫不	háobù
組長	组长	zǔzhǎng
專長	专长	zhuāncháng
物品	物品	wùpǐn
哇	哇	wā
後者	后者	hòuzhě
輔助	辅助	fǔzhù
珍貴	珍贵	zhēnguì
景象	景象	jǐngxiàng
選出	选出	xuǎnchū
澎湖	澎湖	pénghú
學員	学员	xuéyuán
監督	监督	jiāndū
加拿大	加拿大	jiānádà
以色列	以色列	yǐsèliè
參賽	参赛	cānsài
混亂	混乱	hǔnluàn
走出	走出	zǒuchū
收到	收到	shōudào
佛	佛	fó
如同	如同	rútóng
初	初	chū
混亂	混乱	hǔnluàn
排	排	pái
歲月	岁月	suìyuè
參賽	参赛	cānsài
屆時	届时	jièshí
這邊	这边	zhèbiān
班	班	bān
塑造	塑造	sùzào
權威	权威	quánwēi
雙重	双重	shuāngchóng
古老	古老	gǔlǎo
廣播	广播	guǎngbō
樂觀	乐观	lèguān
塑造	塑造	sùzào
定期	定期	dìngqí
強大	强大	qiángdà
社會主義	社会主义	shèhuìzhǔyì
事宜	事宜	shìyí
交往	交往	jiāowǎng
時空	时空	shíkōng
露出	露出	lòuchū
請教	请教	qǐngjiào
繁榮	繁荣	fánróng
嬉皮	嬉皮	xīpí
繁榮	繁荣	fánróng
斤	斤	jīn
暨	暨	jì
行情	行情	hángqíng
先導	先导	xiāndǎo
防治	防治	fángzhì
列入	列入	lièrù
依據	依据	yījù
完美	完美	wánměi
同胞	同胞	tóngbāo
原理	原理	yuánlǐ
財富	财富	cáifù
黃	黄	huáng
難免	难免	nánmiǎn
中小企業	中小企业	zhōngxiǎoqìyè
全力	全力	quánlì
影響到	影响到	yǐngxiǎngdào
貴族	贵族	guìzú
祖先	祖先	zǔxiān
待	待	dài
怎麼	怎么	zěnme
流通	流通	liútōng
姊姊	姊姊	jiějiě
純	纯	chún
學會	学会	xuéhuì
聯繫	联系	liánxì
報	报	bào
颱風	台风	táifēng
盤	盘	pán
精緻	精致	jīngzhì
聯考	联考	liánkǎo
隊伍	队伍	duìwǔ
大台北	大台北	dàtáiběi
和尚	和尚	héshàng
聯繫	联系	liánxì
回收	回收	huíshōu
便是	便是	biànshì
後	后	hòu
師範	师范	shīfàn
陷入	陷入	xiànrù
旅	旅	lǔ
高度	高度	gāodù
租	租	zū
副	副	fù
義大利	义大利	yìdàlì
籃球	篮球	lánqiú
生產力	生产力	shēngchǎnlì
犯	犯	fàn
評鑑	评鑑	píngjiàn
搜尋	搜寻	sōuxún
有利	有利	yǒulì
情境	情境	qíngjìng
處處	处处	chùchù
則	则	zé
物價	物价	wùjià
宜	宜	yí
弄	弄	nòng
根	根	gēn
評鑑	评鑑	píngjiàn
趟	趟	tàng
歌曲	歌曲	gēqǔ
燒	烧	shāo
趙	赵	zhào
文物	文物	wénwù
四處	四处	sìchù
心臟	心脏	xīnzàng
難怪	难怪	nánguài
唱歌	唱歌	chànggē
數目	数目	shùmù
不時	不时	bùshí
修訂	修订	xiūdìng
詞彙	词汇	cíhuì
乾脆	干脆	gāncuì
社長	社长	shèzhǎng
修訂	修订	xiūdìng
唱歌	唱歌	chànggē
球場	球场	qiúchǎng
身份	身份	shēnfèn
解釋	解释	jiěshì
計畫	计画	jìhuà
水果	水果	shuǐguǒ
發明	发明	fāmíng
戶外	户外	hùwài
司法	司法	sīfǎ
熱門	热门	rèmén
環保局	环保局	huánbǎojú
解放	解放	jiěfàng
草	草	cǎo
東吳	东吴	dōngwú
幸運	幸运	xìngyùn
解放	解放	jiěfàng
違規	违规	wéiguī
下來	下来	xiàlái
熱心	热心	rèxīn
算	算	suàn
領	领	lǐng
創新	创新	chuàngxīn
電	电	diàn
靈魂	灵魂	línghún
尊嚴	尊严	zūnyán
協商	协商	xiéshāng
網	网	wǎng
軍人	军人	jūnrén
物件	物件	wùjiàn
省府	省府	shěngfǔ
背	背	bèi
書法	书法	shūfǎ
違規	违规	wéiguī
創新	创新	chuàngxīn
運輸	运输	yùnshū
禮拜	礼拜	lǐbài
觀	观	guān
願望	愿望	yuànwàng
臨床	临床	línchuáng
練	练	liàn
麻煩	麻烦	máfán
當成	当成	dāngchéng
皇帝	皇帝	huángdì
男孩	男孩	nánhái
有錢	有钱	yǒuqián
瑞士	瑞士	ruìshì
何況	何况	hékuàng
擴充	扩充	kuòchōng
獎勵	奖励	jiǎnglì
分佈	分佈	fēnbù
競賽	竞赛	jìngsài
對應	对应	duìyìng
嚴肅	严肃	yánsù
脫離	脱离	tuōlí
主委	主委	zhǔwěi
應付	应付	yìngfù
注意到	注意到	zhùyìdào
安裝	安装	ānzhuāng
國王	国王	guówáng
著	着	zhuó
筆	笔	bǐ
發達	发达	fādá
單一	单一	dānyī
安裝	安装	ānzhuāng
歷經	历经	lìjīng
飲料	饮料	yǐnliào
萬一	万一	wànyī
機械	机械	jīxiè
影響力	影响力	yǐngxiǎnglì
不免	不免	bùmiǎn
加速	加速	jiāsù
加州	加州	jiāzhōu
專	专	zhuān
比率	比率	bǐlù
科目	科目	kēmù
致力	致力	zhìlì
完善	完善	wánshàn
成人	成人	chéngrén
吵架	吵架	chǎojià
名額	名额	míngé
完善	完善	wánshàn
吵架	吵架	chǎojià
發	发	fā
換句話說	换句话说	huànjùhuàshuō
產	产	chǎn
不然	不然	bùrán
支付	支付	zhīfù
可行	可行	kěxíng
支付	支付	zhīfù
變化	变化	biànhuà
競選	竞选	jìngxuǎn
關	关	guān
競選	竞选	jìngxuǎn
雙手	双手	shuāngshǒu
有些	有些	yǒuxiē
名	名	míng
表	表	biǎo
社員	社员	shèyuán
產	产	chǎn
反應	反应	fǎnyìng
假	假	jiǎ
樂園	乐园	lèyuán
餓死	饿死	èsǐ
湖	湖	hú
國際化	国际化	guójìhuà
營養	营养	yíngyǎng
轉	转	zhuǎn
不便	不便	búbiàn
反	反	fǎn
山地	山地	shāndì
考驗	考验	kǎoyàn
不變	不变	búbiàn
成	成	chéng
國際化	国际化	guójìhuà
時光	时光	shíguāng
念書	念书	niànshū
多元化	多元化	duōyuánhuà
交通部	交通部	jiāotōngbù
依法	依法	yīfǎ
多元化	多元化	duōyuánhuà
艘	艘	sāo
強化	强化	qiánghuà
煙	烟	yān
勢力	势力	shìlì
敵人	敌人	dírén
儀器	仪器	yíqì
功夫	功夫	gōngfū
不景氣	不景气	bùjǐngqì
離婚	离婚	líhūn
持	持	chí
財政	财政	cáizhèng
離婚	离婚	líhūn
倫理	伦理	lúnlǐ
強盜	强盗	qiángdào
負面	负面	fùmiàn
企業界	企业界	qìyèjiè
紅色	红色	hóngsè
施行	施行	shīxíng
列為	列为	lièwéi
強化	强化	qiánghuà
姓	姓	xìng
關切	关切	guānqiè
眾人	众人	zhòngrén
禮物	礼物	lǐwù
不利	不利	búlì
不佳	不佳	bùjiā
教育廳	教育厅	jiàoyūtīng
家屬	家属	jiāshǔ
咱們	咱们	zánmen
呼吸	呼吸	hūxī
兒女	儿女	érnǔ
款	款	kuǎn
象徵	象征	xiàngzhēng
煮	煮	zhǔ
顯著	显著	xiǎnzhù
大躍進	大跃进	dàyuèjìn
止	止	zhǐ
付	付	fù
演員	演员	yǎnyuán
嬰兒	婴儿	yīngér
典禮	典礼	diǎnlǐ
忍受	忍受	rěnshòu
城鎮	城镇	chéngzhèn
異常	异常	yìcháng
補助	补助	bǔzhù
案子	案子	ànzi
好朋友	好朋友	hǎopéngyǒu
輕易	轻易	qīngyì
碼頭	码头	mǎtóu
計劃	计划	jìhuà
服務業	服务业	fúwùyè
工作站	工作站	gōngzuòzhàn
外表	外表	wàibiǎo
熊	熊	xióng
勢必	势必	shìbì
鬥爭	斗争	dòuzhēng
研擬	研拟	yánnǐ
行列	行列	hángliè
研擬	研拟	yánnǐ
收藏	收藏	shōucáng
法人	法人	fǎrén
收藏	收藏	shōucáng
企圖	企图	qìtú
再次	再次	zàicì
科系	科系	kēxì
贊助	赞助	zànzhù
網球	网球	wǎngqiú
人心	人心	rénxīn
有用	有用	yǒuyòng
聚集	聚集	jùjí
編列	编列	biānliè
證據	证据	zhèngjù
自身	自身	zìshēn
編列	编列	biānliè
寫作	写作	xiězuò
趁	趁	chèn
進度	进度	jìndù
提前	提前	tíqián
氣息	气息	qìxí
工業區	工业区	gōngyèqū
聚集	聚集	jùjí
會談	会谈	huìtán
慾望	慾望	yūwàng
輸	输	shū
優良	优良	yōuliáng
文獻	文献	wénxiàn
籌備	筹备	chóubèi
勸	劝	quàn
追蹤	追踪	zhuīzōng
籌備	筹备	chóubèi
有線	有线	yǒuxiàn
會談	会谈	huìtán
逐步	逐步	zhúbù
安打	安打	āndǎ
每	每	měi
列印	列印	lièyìn
宣導	宣导	xuāndǎo
城堡	城堡	chéngbǎo
追蹤	追踪	zhuīzōng
收穫	收获	shōuhuò
手冊	手册	shǒucè
燈光	灯光	dēngguāng
語文	语文	yǔwén
團	团	tuán
資策會	资策会	zīcèhuì
一連串	一连串	yīliánchuàn
有心	有心	yǒuxīn
雙	双	shuāng
績效	绩效	jīxiào
逼	逼	bī
鏡頭	镜头	jìngtóu
開心	开心	kāixīn
否定	否定	fǒudìng
地主	地主	dìzhǔ
老大	老大	lǎodà
研究生	研究生	yánjiùshēng
氣質	气质	qìzhí
拿出	拿出	náchū
訴求	诉求	sùqiú
開心	开心	kāixīn
稍微	稍微	shāowéi
利率	利率	lìlù
當選	当选	dāngxuǎn
台南	台南	táinán
擬定	拟定	nǐdìng
隔	隔	gé
經建會	经建会	jīngjiànhuì
貼	贴	tiē
忽視	忽视	hūshì
郝柏村	郝柏村	hǎobócūn
查獲	查获	cháhuò
拆除	拆除	chāichú
忽視	忽视	hūshì
式	式	shì
傳來	传来	chuánlái
象徵	象征	xiàngzhēng
樂	乐	lè
罷了	罢了	bàle
演	演	yǎn
出身	出身	chūshēn
心得	心得	xīndé
出身	出身	chūshēn
上學	上学	shàngxué
去世	去世	qùshì
忙碌	忙碌	mánglù
衛生署	卫生署	wèishēngshǔ
記憶體	记忆体	jìyìtǐ
定位	定位	dìngwèi
忙碌	忙碌	mánglù
紀念	纪念	jìniàn
場面	场面	chángmiàn
得意	得意	déyì
寄	寄	jì
基隆	基隆	jīlóng
效應	效应	xiàoyìng
海水	海水	hǎishuǐ
貸款	贷款	dàikuǎn
夫婦	夫妇	fūfù
擬	拟	nǐ
代表	代表	dàibiǎo
舊金山	旧金山	jiùjīnshān
蝴蝶	蝴蝶	húdié
盡量	尽量	jìnliàng
過度	过度	guòdù
乃	乃	nǎi
發起	发起	fāqǐ
角落	角落	jiǎoluò
防	防	fáng
附加	附加	fùjiā
屏東	屏东	píngdōng
國籍	国籍	guójí
章	章	zhāng
義務	义务	yìwù
開口	开口	kāikǒu
移民	移民	yímín
出	出	chū
主張	主张	zhǔzhāng
上漲	上涨	shàngzhǎng
請求	请求	qǐngqiú
測試	测试	cèshì
不到	不到	búdào
恐懼	恐惧	kǒngjù
來得	来得	láide
得知	得知	dézhī
挑戰	挑战	tiǎozhàn
排除	排除	páichú
最為	最为	zuìwéi
排除	排除	páichú
眼淚	眼泪	yǎnlèi
專輯	专辑	zhuānjí
恐懼	恐惧	kǒngjù
教導	教导	jiàodǎo
田	田	tián
僅有	仅有	jǐnyǒu
移植	移植	yízhí
核酸	核酸	hésuān
教導	教导	jiàodǎo
趕緊	赶紧	gǎnjǐn
業績	业绩	yèjī
點	点	diǎn
平靜	平静	píngjìng
口號	口号	kǒuhào
山西	山西	shānxī
出版品	出版品	chūbǎnpǐn
逃避	逃避	táobì
咬	咬	yǎo
平靜	平静	píngjìng
有關	有关	yǒuguān
背	背	bèi
石油	石油	shíyóu
雪	雪	xuě
局長	局长	júzhǎng
展覽	展览	zhǎnlǎn
面貌	面貌	miànmào
現實	现实	xiànshí
秘書長	秘书长	mìshūzhǎng
討厭	讨厌	tǎoyàn
移植	移植	yízhí
插	插	chā
東部	东部	dōngbù
決心	决心	juéxīn
聯邦	联邦	liánbāng
電台	电台	diàntái
講座	讲座	jiǎngzuò
貓	猫	māo
新興	新兴	xīnxīng
演講	演讲	yǎnjiǎng
台電	台电	táidiàn
曰	曰	yuē
選民	选民	xuǎnmín
充份	充份	chōngfèn
俱樂部	俱乐部	jùlèbù
錦標賽	锦标赛	jǐnbiāosài
始	始	shǐ
門	门	mén
英	英	yīng
推	推	tuī
拿到	拿到	nádào
童年	童年	tóngnián
期限	期限	qíxiàn
惡化	恶化	èhuà
證實	证实	zhèngshí
碩士	硕士	shuòshì
編輯	编辑	biānjí
審核	审核	shěnhé
遠	远	yuǎn
分局	分局	fēnjú
申報	申报	shēnbào
與否	与否	yǔfǒu
邁向	迈向	màixiàng
總之	总之	zǒngzhī
職務	职务	zhíwù
延續	延续	yánxù
嚇	吓	xià
費率	费率	fèilù
美國人	美国人	měiguórén
高速	高速	gāosù
商標	商标	shāngbiāo
嫌	嫌	xián
進修	进修	jìnxiū
傳遞	传递	chuándì
場合	场合	chǎnghé
詩人	诗人	shīrén
腰	腰	yāo
傳遞	传递	chuándì
股價	股价	gǔjià
歌聲	歌声	gēshēng
桃園	桃园	táoyuán
溫馨	温馨	wēnxīn
無比	无比	wúbǐ
著重	着重	zhuózhòng
減輕	减轻	jiǎnqīng
提	提	tí
意味	意味	yìwèi
說不定	说不定	shuōbúdìng
公民	公民	gōngmín
中興	中兴	zhōngxīng
移動	移动	yídòng
減輕	减轻	jiǎnqīng
有待	有待	yǒudài
船員	船员	chuányuán
中興	中兴	zhōngxīng
丟	丢	diōu
走路	走路	zǒulù
身材	身材	shēncái
好玩	好玩	hǎowán
師父	师父	shīfù
架	架	jià
服裝	服装	fúzhuāng
枚	枚	méi
陳列	陈列	chénliè
移動	移动	yídòng
前者	前者	qiánzhě
寶貴	宝贵	bǎoguì
興起	兴起	xīngqǐ
遭受	遭受	zāoshòu
聯合	联合	liánhé
興起	兴起	xīngqǐ
摸	摸	mō
下	下	xià
邏輯	逻辑	luójí
奶奶	奶奶	nǎinǎi
價位	价位	jiàwèi
寶貴	宝贵	bǎoguì
牙齒	牙齿	yáchǐ
武力	武力	wǔlì
腫瘤	肿瘤	zhǒngliú
題材	题材	tícái
典型	典型	diǎnxíng
作風	作风	zuòfēng
初步	初步	chūbù
胃	胃	wèi
從未	从未	cóngwèi
旅行社	旅行社	lǔxíngshè
聊天	聊天	liáotiān
執著	执着	zhízhuó
鄉土	乡土	xiāngtǔ
頓	顿	dùn
非法	非法	fēifǎ
統計	统计	tǒngjì
演唱	演唱	yǎnchàng
十足	十足	shízú
介紹	介绍	jièshào
古人	古人	gǔrén
窮	穷	qióng
演唱	演唱	yǎnchàng
細	细	xì
體力	体力	tǐlì
涉嫌	涉嫌	shèxián
同性戀	同性恋	tóngxìngliàn
無聊	无聊	wúliáo
機種	机种	jīzhǒng
土	土	tǔ
邊緣	边缘	biānyuán
平安	平安	píngān
出面	出面	chūmiàn
半導體	半导体	bàndǎotǐ
平安	平安	píngān
工研院	工研院	gōngyányuàn
燈	灯	dēng
地板	地板	dìbǎn
舒適	舒适	shūshì
著作權	著作权	zhùzuòquán
細節	细节	xìjié
侵害	侵害	qīnhài
好看	好看	hǎokàn
立	立	lì
器材	器材	qìcái
地形	地形	dìxíng
歡樂	欢乐	huānlè
說出	说出	shuōchū
陽明	阳明	yángmíng
正義	正义	zhèngyì
分散	分散	fēnsàn
回憶	回忆	huíyì
測驗	测验	cèyàn
歡樂	欢乐	huānlè
海報	海报	hǎibào
高階	高阶	gāojiē
副教授	副教授	fùjiàoshòu
信念	信念	xìnniàn
花費	花费	huāfèi
自在	自在	zìzài
刺激	刺激	cìjī
技能	技能	jìnéng
私立	私立	sīlì
回憶	回忆	huíyì
維修	维修	wéixiū
壓迫	压迫	yāpò
